codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
110001,202506,1659,1130195,684.14
110002,202506,7642,5152095,675.68
110003,202506,301,200852,667.28
110004,202506,5985,3918215,654.78
110005,202506,1210,831980,689.87
110006,202506,488,315848,651.23
110007,202506,280,180422,644.36
110008,202506,2008,1398151,696.64
110009,202506,1562,992340,635.3
110010,202506,5164,3895657,755.12
110011,202506,3597,2292753,637.76
110012,202506,7652,5106055,667.37
110013,202506,2735,1807526,660.89
110014,202506,1468,911672,621.45
110015,202506,2449,1607430,657.17
110018,202506,1382,914620,661.81
110020,202506,49858,33687387,676.18
110025,202506,2096,1344965,642.29
110026,202506,205,137677,674.89
110028,202506,2078,1334595,645.04
110029,202506,591,391910,663.13
110030,202506,4967,3304841,666.16
110032,202506,1139,741252,651.36
110033,202506,2723,1947720,715.81
110034,202506,1399,926363,664.54
110037,202506,362,223757,618.11
110040,202506,1206,815893,678.78
110045,202506,2036,1367891,672.84
110050,202506,484,315741,656.43
110060,202506,294,196633,668.82
110070,202506,555,358170,645.35
110080,202506,3777,2569244,683.86
110090,202506,242,164578,680.07
110092,202506,885,621537,702.3
110094,202506,1222,828241,677.77
110100,202506,930,584691,628.7
110110,202506,723,501651,694.81
110120,202506,619,417672,674.75
110130,202506,796,532794,670.18
110140,202506,1413,954219,675.31
110143,202506,742,500780,674.91
110145,202506,388,254864,656.87
110146,202506,265,186738,704.67
110147,202506,290,195568,674.37
110148,202506,196,126044,643.08
110149,202506,1395,931696,667.88
110150,202506,886,588060,663.72
110155,202506,369,236279,640.32
110160,202506,521,350624,674.28
110170,202506,1024,678888,662.98
110175,202506,1094,728353,665.77
110180,202506,468,312666,668.09
120001,202506,2334,1607652,688.8
120005,202506,1840,1478646,803.61
120010,202506,4759,3334250,700.62
120013,202506,1985,1399892,705.24
120017,202506,1996,1413721,708.63
120020,202506,15093,10859963,719.97
120025,202506,2629,1837176,698.81
120030,202506,5916,4574098,773.57
120032,202506,1802,1571388,872.02
120033,202506,4509,3268171,724.81
120034,202506,2641,1967811,747.93
120035,202506,3865,3008049,778.28
120038,202506,2483,1702238,685.83
120039,202506,2151,1727157,802.96
120040,202506,44987,30094594,669.48
120042,202506,3168,2365458,746.67
120043,202506,1253,1101121,880.19
120045,202506,3418,2335220,683.21
120050,202506,9351,6663148,712.56
120060,202506,9481,7393058,779.86
120070,202506,2956,2070541,700.45
120080,202506,4110,2905830,707.19
130002,202506,3425,2589357,756.24
130006,202506,2697,2130518,789.96
130008,202506,2330,1798493,772.22
130010,202506,3837,2709163,707.91
130014,202506,2314,1588781,686.89
130020,202506,2405,1927730,801.55
130030,202506,16297,11299571,693.35
130040,202506,3467,2639401,761.29
130050,202506,6321,5024208,795.73
130060,202506,7372,6057708,821.72
130063,202506,5195,4067187,783.21
130068,202506,3679,2736933,743.93
130070,202506,5970,4237489,709.8
130080,202506,6999,5254736,750.78
130083,202506,2792,2066687,740.22
130090,202506,3511,2320855,661.02
130100,202506,6293,4579618,727.73
130110,202506,5746,4061476,706.84
130115,202506,4363,3142439,720.25
130120,202506,15335,11400040,743.5
130130,202506,4296,3218597,749.21
130140,202506,6887,5288443,768.0
130150,202506,4103,2924807,712.85
130160,202506,6875,5075057,738.19
130165,202506,3325,2493179,749.83
